"c_table","c_facet"
"Microscopy:Scan","{""and"": [{""search"": [""1VV2""], ""source"": ""*""}]}"
"Microscopy:species","{""and"": [{""source"": ""RID"", ""choices"": [""6PP""]}]}"
"Microscopy:Scan",NULL
"Microscopy:Scan",NULL
"Microscopy:Scan",NULL
"Microscopy:Scan",NULL
"Microscopy:Scan",NULL
"Microscopy:Scan","{""and"": [{""source"": [{""outbound"": [""Microscopy"", ""Scan_species_fkey""]}, ""RID""], ""choices"": [""6PP""]}]}"
"Microscopy:Scan","{""and"": [{""source"": [{""outbound"": [""Microscopy"", ""Scan_species_fkey""]}, ""RID""], ""choices"": [""6PP""]}]}"
"Microscopy:species",NULL
"Microscopy:Scan","{""and"": [{""source"": [{""outbound"": [""Microscopy"", ""Scan_species_fkey""]}, ""RID""], ""choices"": [""6PP""]}]}"
"Microscopy:Scan","{""and"": [{""search"": [""1VV2""], ""source"": ""*""}, {""source"": [{""outbound"": [""Microscopy"", ""Scan_species_fkey""]}, ""RID""], ""choices"": [""6PP""]}]}"
"Microscopy:Scan","{""and"": [{""search"": [""1VV2""], ""source"": ""*""}, {""source"": [{""outbound"": [""Microscopy"", ""Scan_species_fkey""]}, ""RID""], ""choices"": [""6PP""]}]}"
"Microscopy:species",NULL
"Microscopy:Slide","{""and"": [{""source"": ""RID"", ""choices"": [""1SAP""]}]}"
